Name,Old_Name,Entrez_Symbol,Entrez_symbol_from_nomenclature_authority,Entrez_full_name_from_NA,Gene,HGNC_name,HGNC_prev_name,HGNC_alias_name,HGNC_alias_symbol,uniprot_recommended_name,uniprot_alternative_names,uniprot_gene_names,uniprot_gene_synonyms,NCBI_nomenclaturename,NCBI_otheraliases
"""AKT1""","""AKT1""","""AKT1""","""AKT1""","""v-akt murine thymoma viral oncogene homolog 1""","""AKT1""","""AKT serine/threonine kinase 1""","""v-akt murine thymoma viral oncogene homolog 1""","""protein kinase B""","""RAC"", ""PKB"", ""PRKBA"", ""AKT"", ""RAC-alpha""","""RAC-alpha serine/threonine-protein kinase""","""Protein kinase B"", ""Protein kinase B alpha"", ""Proto-oncogene c-Akt"", ""RAC-PK-alpha""","""AKT1""","""PKB"", ""RAC""","""AKT serine/threonine kinase 1""","""AKT"", ""PKB"", ""PKB-ALPHA"", ""PRKBA"", ""RAC"", ""RAC-ALPHA"""
"""AKT2""","""AKT2""","""AKT2""","""AKT2""","""v-akt murine thymoma viral oncogene homolog 2""","""AKT2""","""AKT serine/threonine kinase 2""","""v-akt murine thymoma viral oncogene homolog 2""",,"""PKBβ""","""RAC-beta serine/threonine-protein kinase""","""Protein kinase Akt-2"", ""Protein kinase B beta"", ""RAC protein kinase beta""","""AKT2""",,"""AKT serine/threonine kinase 2""","""HIHGHH"", ""PKBB"", ""PKBBETA"", ""PRKBB"", ""RAC-BETA"""
"""AKT3""","""AKT3""","""AKT3""","""AKT3""","""v-akt murine thymoma viral oncogene homolog 3 (protein kinase B, gamma)""","""AKT3""","""AKT serine/threonine kinase 3""","""v-akt murine thymoma viral oncogene homolog 3""","""protein kinase B, gamma""","""PKBG"", ""RAC-gamma"", ""PRKBG""","""RAC-gamma serine/threonine-protein kinase""","""Protein kinase Akt-3"", ""Protein kinase B gamma"", ""RAC-PK-gamma"", ""STK-2""","""AKT3""","""PKBG""","""AKT serine/threonine kinase 3""","""MPPH"", ""MPPH2"", ""PKB-GAMMA"", ""PKBG"", ""PRKBG"", ""RAC-PK-gamma"", ""RAC-gamma"", ""STK-2"""
"""CRIK""","""CRIK""","""CIT""","""CIT""","""citron (rho-interacting, serine/threonine kinase 21)""","""CIT""","""citron rho-interacting serine/threonine kinase""","""citron (rho-interacting, serine/threonine kinase 21)""","""serine/threonine kinase 21""","""KIAA0949"", ""STK21"", ""CRIK"", ""CITK""","""Citron Rho-interacting kinase""","""Serine/threonine-protein kinase 21""","""CIT""","""CRIK"", ""KIAA0949"", ""STK21""","""citron rho-interacting serine/threonine kinase""","""CITK"", ""CRIK"", ""MCPH17"", ""STK21"""
"""DMPK1""","""DMPK1""","""DMPK""","""DMPK""","""dystrophia myotonica-protein kinase""","""DMPK""","""DM1 protein kinase""","""dystrophia myotonica 1 (includes dystrophia myotonia protein kinase)"", ""dystrophia myotonica protein kinase""","""dystrophia myotonica 1"", ""DM protein kinase"", ""myotonin protein kinase A"", ""myotonic dystrophy associated protein kinase"", ""thymopoietin homolog"", ""Myotonin-protein kinase""","""DMK"", ""DM1PK"", ""MDPK"", ""MT-PK""","""Myotonin-protein kinase""","""DM-kinase"", ""DM1 protein kinase"", ""DMPK"", ""Myotonic dystrophy protein kinase""","""DMPK""","""DM1PK"", ""MDPK""","""DM1 protein kinase""","""DM"", ""DM1"", ""DM1PK"", ""DMK"", ""MDPK"", ""MT-PK"""
"""MRCKa""","""MRCKa""","""CDC42BPA""","""CDC42BPA""","""CDC42 binding protein kinase alpha (DMPK-like)""","""CDC42BPA""","""CDC42 binding protein kinase alpha""","""CDC42-binding protein kinase alpha (DMPK-like)""","""myotonic dystrophy kinase-related Cdc42-binding kinase""","""MRCKA"", ""PK428"", ""FLJ23347"", ""KIAA0451"", ""MRCKalpha""","""Serine/threonine-protein kinase MRCK alpha""","""CDC42-binding protein kinase alpha"", ""DMPK-like alpha"", ""Myotonic dystrophy kinase-related CDC42-binding kinase alpha""","""CDC42BPA""","""KIAA0451""","""CDC42 binding protein kinase alpha""","""MRCK"", ""MRCKA"", ""MRCKalpha"", ""PK428"""
"""MRCKb""","""MRCKb""","""CDC42BPB""","""CDC42BPB""","""CDC42 binding protein kinase beta (DMPK-like)""","""CDC42BPB""","""CDC42 binding protein kinase beta""","""CDC42-binding protein kinase beta (DMPK-like)""",,"""MRCKB"", ""KIAA1124""","""Serine/threonine-protein kinase MRCK beta""","""CDC42-binding protein kinase beta"", ""DMPK-like beta"", ""Myotonic dystrophy kinase-related CDC42-binding kinase beta""","""CDC42BPB""","""KIAA1124""","""CDC42 binding protein kinase beta""","""CHOCNS"", ""MRCKB"""
"""DMPK2""","""DMPK2""","""CDC42BPG""","""CDC42BPG""","""CDC42 binding protein kinase gamma (DMPK-like)""","""CDC42BPG""","""CDC42 binding protein kinase gamma""","""CDC42 binding protein kinase gamma (DMPK-like)""",,"""HSMDPKIN"", ""MRCKgamma"", ""DMPK2"", ""kappa-200""","""Serine/threonine-protein kinase MRCK gamma""","""CDC42-binding protein kinase gamma"", ""DMPK-like gamma"", ""Myotonic dystrophy kinase-related CDC42-binding kinase gamma"", ""Myotonic dystrophy protein kinase-like alpha""","""CDC42BPG""","""DMPK2""","""CDC42 binding protein kinase gamma""","""DMPK2"", ""HSMDPKIN"", ""KAPPA-200"", ""MRCKG"", ""MRCKgamma"""
"""ROCK1""","""ROCK1""","""ROCK1""","""ROCK1""","""Rho-associated, coiled-coil containing protein kinase 1""","""ROCK1""","""Rho associated coiled-coil containing protein kinase 1""",,,"""p160ROCK""","""Rho-associated protein kinase 1""","""Renal carcinoma antigen NY-REN-35"", ""Rho-associated, coiled-coil-containing protein kinase 1"", ""Rho-associated, coiled-coil-containing protein kinase I"", ""p160 ROCK-1""","""ROCK1""",,"""Rho associated coiled-coil containing protein kinase 1""","""P160ROCK"", ""ROCK-I"""
"""ROCK2""","""ROCK2""","""ROCK2""","""ROCK2""","""Rho-associated, coiled-coil containing protein kinase 2""","""ROCK2""","""Rho associated coiled-coil containing protein kinase 2""",,,,"""Rho-associated protein kinase 2""","""Rho kinase 2"", ""Rho-associated, coiled-coil-containing protein kinase 2"", ""Rho-associated, coiled-coil-containing protein kinase II"", ""p164 ROCK-2""","""ROCK2""","""KIAA0619""","""Rho associated coiled-coil containing protein kinase 2""","""ROCK-II"""
"""BARK1""","""BARK1""","""ADRBK1""","""ADRBK1""","""adrenergic, beta, receptor kinase 1""","""ADRBK1""",,,,,"""Beta-adrenergic receptor kinase 1""","""G-protein coupled receptor kinase 2""","""GRK2""","""ADRBK1"", ""BARK"", ""BARK1""",,
"""BARK2""","""BARK2""","""ADRBK2""","""ADRBK2""","""adrenergic, beta, receptor kinase 2""","""ADRBK2""",,,,,"""G protein-coupled receptor kinase 3""","""Beta-adrenergic receptor kinase 2""","""GRK3""","""ADRBK2"", ""BARK2""",,
"""GPRK4""","""GPRK4""","""GRK4""","""GRK4""","""G protein-coupled receptor kinase 4""","""GRK4""","""G protein-coupled receptor kinase 4""","""G protein-coupled receptor kinase 2-like (Drosophila)""",,"""GPRK4""","""G protein-coupled receptor kinase 4""","""G protein-coupled receptor kinase GRK4"", ""ITI1""","""GRK4""","""GPRK2L"", ""GPRK4""","""G protein-coupled receptor kinase 4""","""GPRK2L"", ""GPRK4"", ""GRK4a"", ""IT11"""
"""GPRK5""","""GPRK5""","""GRK5""","""GRK5""","""G protein-coupled receptor kinase 5""","""GRK5""","""G protein-coupled receptor kinase 5""",,,,"""G protein-coupled receptor kinase 5""","""G protein-coupled receptor kinase GRK5""","""GRK5""","""GPRK5""","""G protein-coupled receptor kinase 5""","""FP2025"", ""GPRK5"""
"""GPRK6""","""GPRK6""","""GRK6""","""GRK6""","""G protein-coupled receptor kinase 6""","""GRK6""","""G protein-coupled receptor kinase 6""",,,,"""G protein-coupled receptor kinase 6""","""G protein-coupled receptor kinase GRK6""","""GRK6""","""GPRK6""","""G protein-coupled receptor kinase 6""","""GPRK6"""
"""RHOK""","""RHOK""","""GRK1""","""GRK1""","""G protein-coupled receptor kinase 1""","""GRK1""","""G protein-coupled receptor kinase 1""","""rhodopsin kinase""",,"""GPRK1"", ""RK""","""Rhodopsin kinase GRK1""","""G protein-coupled receptor kinase 1""","""GRK1""","""RHOK""","""G protein-coupled receptor kinase 1""","""GPRK1"", ""RHOK"", ""RK"""
"""GPRK7""","""GPRK7""","""GRK7""","""GRK7""","""G protein-coupled receptor kinase 7""","""GRK7""","""G protein-coupled receptor kinase 7""",,,,"""Rhodopsin kinase GRK7""","""G protein-coupled receptor kinase 7"", ""G protein-coupled receptor kinase GRK7""","""GRK7""","""GPRK7""","""G protein-coupled receptor kinase 7""","""GPRK7"""
"""MAST1""","""MAST1""","""MAST1""","""MAST1""","""microtubule associated serine/threonine kinase 1""","""MAST1""","""microtubule associated serine/threonine kinase 1""",,,"""SAST"", ""KIAA0973""","""CLIP-associating protein 1""","""Cytoplasmic linker-associated protein 1"", ""Multiple asters homolog 1"", ""Protein Orbit homolog 1""","""CLASP1""","""KIAA0622"", ""MAST1""","""microtubule associated serine/threonine kinase 1""","""MCCCHCM"", ""SAST"""
"""MAST3""","""MAST3""","""MAST3""","""MAST3""","""microtubule associated serine/threonine kinase 3""","""MAST3""","""microtubule associated serine/threonine kinase 3""",,,"""KIAA0561""","""Microtubule-associated serine/threonine-protein kinase 3""",,"""MAST3""","""KIAA0561""","""microtubule associated serine/threonine kinase 3""","""DEE108"""
"""MAST2""","""MAST2""","""MAST2""","""MAST2""","""microtubule associated serine/threonine kinase 2""","""MAST2""","""microtubule associated serine/threonine kinase 2""",,,"""MAST205"", ""KIAA0807""","""Microtubule-associated serine/threonine-protein kinase 2""",,"""MAST2""","""KIAA0807"", ""MAST205""","""microtubule associated serine/threonine kinase 2""","""MAST205"", ""MTSSK"""
"""MAST4""","""MAST4""","""LOC375449""","""-""","""-""","""LOC375449""",,,,,,,,,,
"""MASTL""","""MASTL""","""MASTL""","""MASTL""","""microtubule associated serine/threonine kinase-like""","""MASTL""","""microtubule associated serine/threonine kinase like""","""microtubule associated serine/threonine kinase-like""","""greatwall kinase homolog""","""FLJ14813"", ""THC2"", ""Gwl""","""Serine/threonine-protein kinase greatwall""","""Microtubule-associated serine/threonine-protein kinase-like""","""MASTL""","""GW"", ""GWL"", ""THC2""","""microtubule associated serine/threonine kinase like""","""GREATWALL"", ""GW"", ""GWL"", ""MAST-L"", ""THC2"""
"""LATS1""","""LATS1""","""LATS1""","""LATS1""","""LATS, large tumor suppressor, homolog 1 (Drosophila)""","""LATS1""","""large tumor suppressor kinase 1""","""LATS (large tumor suppressor, Drosophila) homolog 1"", ""LATS, large tumor suppressor, homolog 1 (Drosophila)""",,"""WARTS""","""Serine/threonine-protein kinase LATS1""","""Large tumor suppressor homolog 1"", ""WARTS protein kinase""","""LATS1""","""WARTS""","""large tumor suppressor kinase 1""","""WARTS"", ""wts"""
"""NDR1""","""NDR1""","""STK38""","""STK38""","""serine/threonine kinase 38""","""STK38""","""serine/threonine kinase 38""",,"""nuclear Dbf2-related 1""","""NDR"", ""NDR1""","""Serine/threonine-protein kinase 38""","""NDR1 protein kinase"", ""Nuclear Dbf2-related kinase 1""","""STK38""","""NDR1""","""serine/threonine kinase 38""","""NDR"", ""NDR1"""
"""NDR2""","""NDR2""","""STK38L""","""STK38L""","""serine/threonine kinase 38 like""","""STK38L""","""serine/threonine kinase 38 like""",,"""nuclear Dbf2-related 2""","""KIAA0965"", ""NDR2""","""Serine/threonine-protein kinase 38-like""","""NDR2 protein kinase"", ""Nuclear Dbf2-related kinase 2""","""STK38L""","""KIAA0965"", ""NDR2""","""serine/threonine kinase 38 like""","""NDR2"""
"""LATS2""","""LATS2""","""LATS2""","""LATS2""","""LATS, large tumor suppressor, homolog 2 (Drosophila)""","""LATS2""","""large tumor suppressor kinase 2""","""LATS (large tumor suppressor, Drosophila) homolog 2"", ""LATS, large tumor suppressor, homolog 2 (Drosophila)""",,,"""Serine/threonine-protein kinase LATS2""","""Kinase phosphorylated during mitosis protein"", ""Large tumor suppressor homolog 2"", ""Serine/threonine-protein kinase kpm"", ""Warts-like kinase""","""LATS2""","""KPM""","""large tumor suppressor kinase 2""","""KPM"""
"""PDK1""","""PDK1""","""PDPK1""","""PDPK1""","""3-phosphoinositide dependent protein kinase-1""","""PDPK1""","""3-phosphoinositide dependent protein kinase 1""",,"""PkB kinase""","""PDK1""","""3-phosphoinositide-dependent protein kinase 1""",,"""PDPK1""","""PDK1""","""3-phosphoinositide dependent protein kinase 1""","""PDK1"", ""PDPK2"", ""PDPK2P"", ""PRO0461"""
"""PKACa""","""PKACa""","""PRKACA""","""PRKACA""","""protein kinase, cAMP-dependent, catalytic, alpha""","""PRKACA""","""protein kinase cAMP-activated catalytic subunit alpha""","""protein kinase, cAMP-dependent, catalytic, alpha"", ""protein kinase, cAMP-dependent, alpha catalytic subunit""","""cAMP-dependent protein kinase catalytic subunit alpha"", ""PKA C-alpha""","""PKACa""","""cAMP-dependent protein kinase catalytic subunit alpha""",,"""PRKACA""","""PKACA""","""protein kinase cAMP-activated catalytic subunit alpha""","""CAFD1"", ""PKACA"", ""PPNAD4"""
"""PKACb""","""PKACb""","""PRKACB""","""PRKACB""","""protein kinase, cAMP-dependent, catalytic, beta""","""PRKACB""","""protein kinase cAMP-activated catalytic subunit beta""","""protein kinase, cAMP-dependent, catalytic, beta"", ""protein kinase, cAMP-dependent, beta catalytic subunit""","""cAMP-dependent protein kinase catalytic subunit beta"", ""PKA C-beta""","""PKACb""","""cAMP-dependent protein kinase catalytic subunit beta""",,"""PRKACB""",,"""protein kinase cAMP-activated catalytic subunit beta""","""CAFD2"", ""PKA C-beta"", ""PKACB"""
